Time,wy,iu,il,ia,ib,ic,iu_ref,il_ref,ia_ref,ib_ref,ic_ref,vc_ua,vc_ub,vc_uc,vc_la,vc_lb,vc_lc,ie1,ie2,ie1_ref,ie2_ref,vo
0,314.159265358979,0,0,0,0,0,0,-0,-0.0297112919431113,0.0135071553641518,0.0162041365789595,669.241830677282,669.241830677282,669.241830677282,669.241830677282,669.241830677282,669.241830677282,0,0,-0.100160962902009,0.0612093836534768,1.93769303873862
0.000166694449074846,314.159265358979,-4.8659964946296e-12,5.08140751698249e-12,-0.027187794523657,0.0156307099971004,0.0115570845263412,2.70697772490724e-06,-2.70697772490724e-06,-0.0589336245079922,0.0241025006169363,0.0348311238910559,669.241280646592,669.258627281247,669.229350643634,669.229456565904,669.249611427276,669.237812896297,-0.100159499040127,0.061208489074186,-0.0894585442729294,0.0867057740688324,2.22187756604014
0.000333388898149692,314.159265358979,2.70692857881616e-06,-2.70692836512598e-06,-0.0564165596782384,0.0266326481916379,0.0297839114863868,1.57937607304275e-05,-1.57937607304275e-05,-0.0874307407403941,0.0317229372855432,0.0557078034548509,669.241256801566,669.289087060342,669.196184090703,669.209211695626,669.267059972706,669.229459112822,-0.0894586909427589,0.0867053954781403,-0.0840221284888685,0.0968191768042743,2.23399288316194
0.000500083347224537,314.159265358979,1.57935409971222e-05,-1.57935409657722e-05,-0.085146178410993,0.0345022129791172,0.0506439654318444,4.9494639374364e-05,-4.9494639374364e-05,-0.114972512702644,0.0363221872490953,0.0786503254535489,669.242961544081,669.313992191028,669.15088074803,669.194614087832,669.285230175692,669.220849445763,-0.0840221992560066,0.096819020568046,-0.0845008473843336,0.0753749562427402,1.51050584343014
0.000666777796299383,314.159265358979,4.94940851222953e-05,-4.94940853523959e-05,-0.112945442329312,0.0393281382257164,0.0736173041038254,0.00011404565962611,-0.00011404565962611,-0.141335927684715,0.0378708476846228,0.103465080000092,669.245308194029,669.335998049328,669.102282881482,669.171941902258,669.304892563241,669.214775614233,-0.0845008322284583,0.0753752602466312,-0.0767109883017838,0.0498679857701063,1.19185195703784
0.000833472245374229,314.159265358979,0.000114044599319865,-0.000114044599430396,-0.139573110390898,0.0410921846707622,0.0984809257202464,0.000219246084916958,-0.000219246084916958,-0.166306036531678,0.0363563769934472,0.129949659538231,669.247504585735,669.355470109834,669.057464128729,669.133455656935,669.325567654919,669.212784313775,-0.0767110939456139,0.0498683512431479,-0.0690143825486302,0.0241436174837872,0.85620761298986
0.00100016669444907,314.159265358979,0.000219244363587848,-0.000219244363906829,-0.164811896606303,0.0397822347853843,0.125029661821238,0.000374584666520614,-0.000374584666520614,-0.189676860851557,0.0317830123850743,0.157893848466482,669.249619925332,669.371713173739,669.017247541264,669.080695691222,669.345945017699,669.21450159049,-0.069014487590488,0.0241439886120812,-0.0614943683613092,-0.00168392714112997,0.503188091690899
0.00116686114352392,314.159265358979,0.000374582131767179,-0.000374582131727086,-0.188454860096383,0.035402048104123,0.15305281199222,0.000589170053945564,-0.000589170053945564,-0.211252256043763,0.0241716200341706,0.187080636009592,669.251583507934,669.385426544666,668.981639008998,669.014218548398,669.365506637234,669.21937415152,-0.0614944715657278,-0.00168355200790848,-0.0478387363255024,-0.0377346707973629,0.28155942765712
0.00133355559259877,314.159265358979,0.000589166554389786,-0.000589166554037207,-0.210305007937153,0.0279719682447144,0.182333039692086,0.000871715099504994,-0.000871715099504994,-0.230846727273429,0.0135594789593874,0.217287248314042,669.253182453999,669.396412026951,668.952848955241,668.933836628017,669.382925769382,669.227222290837,-0.0478389299354358,-0.0377341437423657,-0.0121096572838724,-0.0899641150608659,0.0916995477542286
0.00150025004167361,314.159265358979,0.000871710482277979,-0.000871710482054894,-0.23017600381826,0.0175287825386639,0.212647221279373,0.001230569056685,-0.001230569056685,-0.248286195710314,3.00741647177536e-16,0.248286195710314,669.254315353831,669.401600842465,668.936858593368,668.840895244075,669.393833279737,669.238345806422,-0.0121101748236122,-0.089963348052646,0.0269470358034596,-0.132249029818922,-0.032258792602875
0.00166694449074846,314.159265358979,0.0012305631978884,-0.00123056319800818,-0.247892927223512,0.00412544872250069,0.243767478501131,0.00167369185346875,-0.00167369185346875,-0.263408712551851,-0.0164376185131855,0.279846331065037,669.255516896769,669.398634566654,668.935416920902,668.740746187342,669.3934374212,669.252433702878,0.0269464661551975,-0.13224840307503,0.0646057086996734,-0.172609332017601,-0.164111993796443
