0,1.283060673,-1.280759755,0.129165468,-0.130931665,-1.410320042,1.41359752
5.00E-05,1.311482872,-1.309236184,0.152563707,-0.154315298,-1.462136662,1.4654614
1.00E-04,1.344555796,-1.342364379,0.177975622,-0.179710783,-1.520616297,1.523990282
1.50E-04,1.38199004,-1.37985511,0.205625832,-0.207342593,-1.585694057,1.589119518
2.00E-04,1.423568751,-1.421491681,0.235611814,-0.237308043,-1.657250439,1.660729849
2.50E-04,1.469086922,-1.467069239,0.26801151,-0.269684899,-1.73515825,1.73869432
3.00E-04,1.518295683,-1.516339052,0.30297224,-0.304620291,-1.819315795,1.822911471
3.50E-04,1.570891638,-1.568997853,0.340721129,-0.342341142,-1.909646653,1.91330511
4.00E-04,1.626550683,-1.624721657,0.381506907,-0.383095966,-2.006075287,2.009799926
4.50E-04,1.684972878,-1.683210632,0.425530775,-0.427085736,-2.108502788,2.112297234
5.00E-04,1.745902769,-1.74420942,0.472919996,-0.474437476,-2.216800784,2.220668877
5.50E-04,1.809114513,-1.807492266,0.523754964,-0.525231329,-2.33082364,2.334769432
6.00E-04,1.874380091,-1.872831228,0.578117925,-0.579549285,-2.45042539,2.454453139
6.50E-04,1.94144897,-1.939975841,0.63612119,-0.637503389,-2.575467613,2.579581776
7.00E-04,2.010053724,-2.008658736,0.697896871,-0.699225479,-2.705814789,2.710020021
7.50E-04,2.079932834,-2.078618442,0.763564094,-0.764834402,-2.841324315,2.845625455
8.00E-04,2.150849152,-2.149617851,0.833204886,-0.834411898,-2.981840857,2.98624293
8.50E-04,2.222589534,-2.22144385,0.90686712,-0.908005549,-3.127198924,3.131707128
9.00E-04,2.23717145,-2.236113577,0.958751567,-0.959816333,-3.18703702,3.191603359
9.50E-04,2.166913394,-2.165941492,0.978103717,-0.979092828,-3.142759251,3.147315503
0.001,2.108108335,-2.107219852,0.994096733,-0.995009141,-3.099888249,3.104434436
0.00105,2.057664164,-2.056856778,1.007020269,-1.007854895,-3.062374404,3.066910549
0.0011,1.965201371,-1.964505012,1.006125978,-1.006881443,-2.975644541,2.980170666
0.00115,1.846020713,-1.84547024,0.970778992,-0.971456956,-2.814538153,2.81905428
0.0012,1.717362339,-1.716947488,0.955416319,-0.956018446,-2.670619336,2.675125487
0.00125,1.588240972,-1.587952155,0.954022659,-0.954550372,-2.540134984,2.544631182
0.0013,1.472079443,-1.471907838,0.95023165,-0.95068624,-2.420209453,2.424695719
0.00135,1.376402634,-1.376340275,0.935505404,-0.935888138,-2.309830048,2.314306404
0.0014,1.298073919,-1.298113692,0.913870809,-0.914182934,-2.209887443,2.214353912
0.00145,1.228376731,-1.228512279,0.895299474,-0.895542112,-2.121636997,2.126093599
0.0015,1.161004575,-1.161230181,0.886507662,-0.886681693,-2.045488676,2.049935435
0.00155,1.095929826,-1.09624035,0.887060052,-0.887166058,-1.980979675,1.985416612
0.0016,1.037381354,-1.037772219,0.892065947,-0.892104213,-1.927448299,1.931875435
