1,14,0.2044,0.20412,-0.00028606
1,19,0.20038,0.20006,-0.00031491
1,24,0.19514,0.19502,-0.00011191
1,29,0.18823,0.1888,0.00057711
1,34,0.18238,0.18271,0.0003355
1,39,0.17665,0.17705,0.00039305
1,44,0.17311,0.1737,0.0005912
1,49,0.17153,0.17249,0.0009585
1,54,0.16654,0.16777,0.0012273
1,59,0.16369,0.16509,0.0013941
1,64,0.16001,0.16128,0.0012695
1,69,0.15725,0.15908,0.0018217
1,74,0.15537,0.15724,0.0018662
1,79,0.15324,0.15573,0.0024946
2,14,0.17998,0.17995,-2.9087e-05
2,19,0.16707,0.1675,0.00042267
2,24,0.15866,0.16033,0.0016645
2,29,0.14575,0.14764,0.0018895
2,34,0.13413,0.13644,0.0023122
2,39,0.12386,0.12597,0.0021129
2,44,0.12542,0.12925,0.003832
2,49,0.11381,0.11696,0.0031509
2,54,0.1144,0.11833,0.003938
2,59,0.10307,0.1085,0.0054318
2,64,0.10579,0.11212,0.00633
2,69,0.10401,0.11106,0.0070422
2,74,0.09797,0.10549,0.0075159
2,79,0.095282,0.10319,0.007911
3,14,0.17411,0.17505,0.00093442
3,19,0.15139,0.15292,0.0015273
3,24,0.12601,0.12778,0.0017699
3,29,0.12295,0.12567,0.0027128
3,34,0.098715,0.10256,0.0038491
3,39,0.090837,0.095023,0.0041862
3,44,0.094929,0.10025,0.0053204
3,49,0.081116,0.087387,0.006271
3,54,0.078053,0.085365,0.0073125
3,59,0.081978,0.091901,0.0099222
3,64,0.07727,0.08789,0.01062
3,69,0.075159,0.08711,0.011951
3,74,0.070144,0.08315,0.013006
3,79,0.07075,0.085414,0.014664
