1,2,0.022786,0.022301,0.00048499
1,4,0.018234,0.018135,9.9152e-05
1,6,0.015113,0.015675,-0.00056134
1,8,0.014427,0.014575,-0.00014743
1,10,0.013561,0.013602,-4.0234e-05
1,12,0.012976,0.013277,-0.00030076
1,14,0.012505,0.012923,-0.00041859
1,16,0.012251,0.012899,-0.00064834
1,18,0.011786,0.012448,-0.00066183
1,20,0.010947,0.011895,-0.00094785
1,22,0.011245,0.01246,-0.0012143
1,24,0.010337,0.011407,-0.0010701
1,26,0.0098916,0.011242,-0.0013508
1,28,0.009652,0.011276,-0.001624
1,30,0.0098894,0.011459,-0.0015698
2,2,0.022785,0.022275,0.00050996
2,4,0.017154,0.01686,0.00029419
2,6,0.014254,0.014863,-0.00060875
2,8,0.013323,0.01385,-0.00052737
2,10,0.011703,0.012318,-0.00061475
2,12,0.010417,0.012183,-0.0017654
2,14,0.0094031,0.010556,-0.0011525
2,16,0.0095813,0.011706,-0.0021248
2,18,0.008892,0.010977,-0.0020852
2,20,0.0076426,0.01071,-0.0030672
2,22,0.0079544,0.010289,-0.0023348
2,24,0.0061368,0.0096914,-0.0035546
2,26,0.0074184,0.010553,-0.0031343
2,28,0.006299,0.0093237,-0.0030248
2,30,0.0054909,0.0087154,-0.0032246
3,2,0.022707,0.02219,0.00051621
3,4,0.01737,0.017499,-0.00012865
3,6,0.014589,0.014451,0.00013821
3,8,0.012621,0.013092,-0.00047032
3,10,0.011028,0.012618,-0.0015897
3,12,0.01017,0.011355,-0.0011846
3,14,0.009076,0.010589,-0.0015132
3,16,0.0067305,0.010242,-0.0035114
3,18,0.0066805,0.0093945,-0.0027141
3,20,0.0082412,0.010231,-0.0019903
3,22,0.0052071,0.009211,-0.004004
3,24,0.0046168,0.0086145,-0.0039977
3,26,0.0053964,0.0093659,-0.0039695
3,28,0.0038955,0.0085043,-0.0046088
3,30,0.0041095,0.0086933,-0.0045838
4,2,0.022756,0.022316,0.00043999
4,4,0.017313,0.017208,0.00010488
4,6,0.014351,0.014626,-0.00027506
4,8,0.011853,0.012655,-0.00080176
4,10,0.008837,0.010889,-0.002052
4,12,0.0085084,0.011069,-0.0025608
4,14,0.0082151,0.011231,-0.0030161
4,16,0.0076965,0.010214,-0.0025179
4,18,0.0089977,0.010926,-0.0019287
4,20,0.0056268,0.0090634,-0.0034366
4,22,0.004467,0.0082109,-0.0037439
4,24,0.0059447,0.0095768,-0.0036321
4,26,0.0037814,0.0087928,-0.0050114
4,28,0.0049841,0.0086448,-0.0036607
4,30,0.0052165,0.0085777,-0.0033612
5,2,0.022382,0.021916,0.0004667
5,4,0.016761,0.016626,0.00013497
5,6,0.013438,0.014985,-0.0015471
5,8,0.011825,0.01331,-0.001485
5,10,0.010378,0.012173,-0.0017947
5,12,0.0092045,0.011378,-0.0021734
5,14,0.0077714,0.010852,-0.0030803
5,16,0.0065446,0.0099425,-0.0033979
5,18,0.0058366,0.010394,-0.0045571
5,20,0.0074087,0.010038,-0.0026291
5,22,0.0055405,0.0091502,-0.0036097
5,24,0.0045692,0.0096058,-0.0050366
5,26,0.0044434,0.010183,-0.0057401
5,28,0.0069052,0.0087471,-0.0018418
5,30,0.0046951,0.0090387,-0.0043436
6,2,0.022358,0.021861,0.0004968
6,4,0.018136,0.01803,0.00010625
6,6,0.014177,0.015694,-0.0015166
6,8,0.011138,0.012348,-0.0012101
6,10,0.010597,0.011241,-0.00064386
6,12,0.0077298,0.0095536,-0.0018237
